Actual Pressure Strain,Predicted Pressure Strain
0.001197383671728736,0.0011727622591616656
0.0,0.0003742077586407008
1.3220521471284e-05,3.807246533853462e-05
0.000243600851289856,4.8536652594975676e-05
0.000942526944262929,0.00047564442409649187
0.000101686199636986,3.872164977804485e-05
0.000798971708670586,0.0008126245810037248
-0.000567082791182926,-0.0003106298378477894
0.01076357445252562,0.010732886412523289
6.0506310904963e-05,3.872164977804485e-05
9.2555078984635e-05,0.0001467725345026152
1.1729334898262e-05,3.807246533853462e-05
1.1351404937238e-05,3.807246533853462e-05
0.004732593372996315,0.004781543936118789
2.0244527015725e-05,3.807246533853462e-05
4.357673626588e-06,3.807246533853462e-05
0.003601747760581896,0.0038881578955445384
0.000306137878685226,0.00024264558023074962
-0.05086696512441997,-0.060352600307451036
0.0,-2.8998114179989396e-05
3.4598390918468e-05,3.807246533853462e-05
0.0,-1.8159969762103597e-05
0.06123176738136425,0.06147926877291964
0.0,0.00011542983759498039
2.6144601621265e-05,3.872164977804485e-05
1.0297281063016e-05,4.841498601633897e-06
0.000230777312561513,4.390491481999646e-05
4.0209724439894e-05,3.872164977804485e-05
0.01072328616958494,0.01093208788911298
0.02903346489164204,0.028756572599307816
-0.05042994595102346,-0.049431782117079194
0.02572214949397989,0.02562459884260975
2.2129398927365e-05,3.807246533853462e-05
6.8320907027837e-05,3.807246533853462e-05
8.1669025595099e-05,4.390491481999646e-05
0.000136288719368233,8.17717682008163e-05
5.146114936954e-06,3.807246533853462e-05
0.0,3.0771287271465256e-05
1.4662512971758e-05,1.3784603135827813e-05
2.592292729254e-05,3.807246533853462e-05
4.756854895506e-06,3.807246533853462e-05
0.000236180579972668,4.672836020615412e-05
-0.08408851712264927,-0.08330559143233417
0.07705940926137958,0.07759863895401498
0.001182220540330688,0.0011454069099625893
0.0,4.75096688963539e-05
